年份,地區,區域,家庭戶數,平均每戶人數,平均每戶成年人數,平均每戶就業人數,平均每戶所得收入者人數,所得收入總計,總消費支出,食品食品及非酒精飲料,菸酒及檳榔,衣著鞋襪及服飾用品,住宅服務、水電瓦斯及其他燃料,家具設備及家務維護,醫療保健,交通,通訊,休閒與文化,教育,餐廳及旅館,什項消費,套裝旅遊,娛樂消遣及文化服務,書報雜誌文具,教育消遣康樂器材及其附屬品
2024,新北市,北部,1642968.25,2.7527,2.4521999999999986,1.345399999999999,1.878100000000002,1439706.54,844599.61,105365.54,7941.86,24948.79,237842.24,27256.76,147964.85,61763.73,25754.71,36863.72,26065.22,119626.13,36784.54,11571.6,13513.58,3362.85,9155.53
2024,台北市,北部,1055498.13,2.7019000000000033,2.4574000000000025,1.279099999999999,1.9184,1738248.51,1083936.91,154355.51,7234.14,30275.73,311985.14,39393.21,163062.11,68837.71,24877.46,59500.87,27540.68,152070.64,53070.85,23719.43,18132.88,3631.68,12863.41
2024,桃園市,北部,880770.48,3.0056999999999983,2.5714999999999977,1.441699999999999,1.878300000000003,1501731.68,899148.91,127762.99,9947.65,26790.53,216713.99,21807.86,149626.54,93200.03,27824.43,33317.53,31511.69,125600.58,47250.18,10358.61,12184.05,3939.46,6728.18
2024,台中市,中部,1036867.68,2.8380000000000036,2.474100000000002,1.3884999999999983,1.7838999999999996,1337603.2,896453.6,121094.54,8334.49,22808.78,221777.88,22175.03,156951.26,86731.95,24582.17,31805.46,29028.0,120081.7,48155.52,10534.76,13159.57,3791.49,7998.67
2024,台南市,南部,717293.66,2.7979000000000025,2.457599999999998,1.3822,1.7475000000000003,1192568.94,754717.5,114866.78,8134.79,17091.62,162253.96,20079.11,143823.81,73506.87,22507.45,22692.97,23482.6,118046.85,36043.96,6513.63,9694.19,2773.33,5206.15
2024,高雄市,南部,1136440.03,2.7908,2.4410999999999974,1.3514999999999984,1.7664000000000006,1290061.38,849606.68,120920.95,8213.4,20119.41,190738.95,23673.34,156076.73,76991.69,23934.37,26514.03,25815.43,132154.56,41659.45,8773.19,11520.24,3042.35,6360.21
2024,宜蘭縣,北部,176031.1,2.694999999999996,2.338700000000002,1.063800000000001,1.6262000000000023,1102658.83,736810.32,129094.08,10953.8,20375.06,156248.91,27103.95,150350.81,72795.39,20732.08,24764.95,15972.29,81083.39,44681.14,6665.77,8145.58,2541.2,4826.38
2024,新竹縣,北部,214851.03,3.084499999999996,2.5143999999999975,1.4095999999999977,1.7976000000000008,1705321.88,1033672.99,124357.36,10912.45,28593.01,236933.0,30793.76,150120.57,139432.34,27437.17,38277.22,46196.38,122232.83,57660.77,9308.64,16023.77,3513.18,12237.53
2024,苗栗縣,中部,196662.35,2.9565,2.5958999999999963,1.3938999999999981,1.8266999999999984,1304052.96,721770.23,113335.05,11463.4,20830.03,141880.47,20974.72,143077.82,87660.21,26287.07,23987.98,19471.71,81354.84,41329.18,9915.32,9383.75,3101.71,6073.83
2024,彰化縣,中部,402332.76,2.9040999999999992,2.557900000000004,1.4307000000000027,1.7726000000000008,1154472.37,666260.79,113503.18,7047.21,17790.89,131516.56,18456.88,142078.57,69342.55,20909.69,21173.08,23363.41,74216.37,31072.77,7992.5,7422.37,3651.2,4051.14
2024,南投縣,中部,180923.85,2.8342999999999994,2.517000000000003,1.4525999999999988,1.7580999999999996,1100352.66,642939.27,110668.72,11155.98,16807.82,121844.29,17736.46,145164.14,64118.78,21031.66,20396.75,18009.18,79644.14,35014.61,6052.81,7715.66,2740.57,4089.17
2024,雲林縣,中部,245530.44,2.6486000000000036,2.329800000000005,1.316899999999999,1.6252999999999977,1053691.69,636636.09,90927.32,10332.2,16201.83,113888.69,18040.39,158109.95,61221.73,20506.93,18773.21,15166.28,67890.1,39249.48,4761.04,7800.95,2392.49,4285.05
2024,嘉義縣,南部,185598.45,2.574700000000001,2.3134000000000015,1.1467999999999983,1.579400000000002,935116.05,595072.96,111669.25,14012.55,10850.98,94930.07,13130.66,144683.11,61722.96,18091.53,14499.53,12824.46,72572.04,29713.76,4051.46,6262.6,1690.4,2727.76
2024,屏東縣,南部,295247.71,2.7487999999999975,2.3790999999999998,1.3796999999999988,1.7007999999999988,1095100.66,701471.16,114277.42,9985.09,16344.75,117463.21,17068.02,149999.28,60729.55,22241.21,18943.56,15845.64,128741.68,38558.69,5659.53,8147.0,2433.5,4097.02
2024,台東縣,東部,84136.37,2.389099999999998,2.0332999999999983,1.0772999999999988,1.4865999999999986,925171.14,568573.64,89708.43,15072.43,10447.47,142742.11,9299.76,128139.0,51513.97,18976.68,15077.74,9359.51,66163.75,27724.17,4827.62,5950.78,1550.79,2406.96
2024,花蓮縣,東部,128198.43,2.3728000000000025,2.0941000000000027,1.052299999999998,1.5392000000000003,1017303.82,605715.95,96742.86,9488.35,14255.71,142464.43,14334.73,144890.52,51493.97,20360.75,16205.77,8678.37,65116.63,28734.82,3803.23,8020.95,1617.58,4062.03
2024,澎湖縣,離島,42492.48,2.348399999999998,2.0718999999999976,0.8975000000000004,1.5095999999999998,1015974.27,584457.67,115659.14,7818.3,14038.87,121267.6,13983.83,133140.77,34141.38,19310.61,18601.41,9459.26,56393.49,29710.76,4013.29,8657.55,1337.01,6015.51
2024,基隆市,北部,158346.77,2.656999999999997,2.3443000000000036,1.1568999999999987,1.6892999999999985,1156965.29,761427.48,122096.39,11273.17,27389.1,158114.21,27444.82,148793.47,61272.2,22146.01,34750.81,16542.87,85726.05,44894.58,7347.08,12829.31,3851.13,9250.76
2024,新竹市,北部,176386.27,2.895899999999996,2.4475999999999987,1.3420999999999998,1.8408000000000027,1735891.74,1031329.05,154358.18,10768.51,26983.44,267358.82,26809.84,149935.18,93433.48,26712.78,45253.37,36460.54,132869.23,60160.73,14617.29,18623.37,4090.89,9707.85
2024,嘉義市,南部,102342.52,2.783300000000003,2.4313999999999996,1.239000000000001,1.7131000000000012,1230376.76,788153.39,119589.97,9723.74,19331.98,159927.19,22685.74,151828.95,68408.05,23472.13,21530.31,21964.43,134378.52,39591.39,6559.16,9393.7,2800.78,5719.14
